Label,Total_Energy_kWh,Holiday
2018/2/17-13,6.09,False
2018/2/17-14,6.32,False
2018/2/17-15,3.48,False
2018/2/17-16,0.21,False
2018/2/17-17,4.29,False
2018/2/17-18,2.3200000000000003,False
2018/2/17-19,8.26,False
2018/2/17-20,2.58,False
2018/2/17-21,0.37,False
2018/2/17-22,4.48,False
2018/2/17-23,4.48,False
2018/2/18-8,4.04,True
2018/2/18-9,7.23,True
2018/2/18-10,1.7,True
2018/2/18-11,7.170000000000001,True
2018/2/18-12,17.26,True
2018/2/18-13,17.04,True
2018/2/18-14,11.24,True
2018/2/18-15,8.629999999999999,True
2018/2/18-16,0.2,True
2018/2/18-18,0.91,True
2018/2/18-19,2.19,True
2018/2/18-20,2.13,True
2018/2/18-21,3.64,True
2018/2/18-22,4.12,True
2018/2/18-23,4.12,True
2018/2/19-7,5.68,False
2018/2/19-8,5.59,False
2018/2/19-10,9.42,False
2018/2/19-11,10.48,False
2018/2/19-12,7.84,False
2018/2/19-13,10.21,False
2018/2/19-14,6.09,False
2018/2/19-15,9.7,False
2018/1/25-20,4.71,False
2018/1/26-6,3.98,False
2018/1/26-7,5.82,False
2018/1/26-8,10.51,False
2018/1/26-9,8.18,False
2018/1/26-11,2.8,False
2018/1/26-12,12.400000000000002,False
2018/1/26-13,5.45,False
2018/1/26-14,8.18,False
2018/1/26-15,12.100000000000001,False
2018/1/26-16,2.64,False
2018/1/26-17,3.68,False
2018/1/26-18,4.85,False
2018/1/27-10,6.19,False
2018/1/27-11,7.04,False
2018/1/27-12,3.32,False
2018/1/27-13,2.85,False
2018/1/27-14,3.24,False
2018/1/27-15,3.08,False
2018/1/27-16,1.29,False
2018/1/27-17,7.2,False
2018/1/27-18,1.86,False
2018/1/27-20,4.22,False
2018/1/27-21,8.82,False
2018/1/28-7,2.39,True
2018/1/28-8,7.5600000000000005,True
2018/1/28-9,6.14,True
2018/1/28-10,6.64,True
2018/1/28-11,2.28,True
2018/1/28-13,3.33,True
2018/1/28-14,2.07,True
2018/1/28-15,6.21,True
2018/1/28-16,1.43,True
2018/1/28-17,2.9,True
2018/1/28-18,1.67,True
2018/1/29-5,0.65,False
2018/1/29-6,5.93,False
2018/1/29-9,3.57,False
2018/1/29-10,6.91,False
2018/1/29-11,8.64,False
2018/1/29-12,7.91,False
2018/1/29-13,4.359999999999999,False
2018/1/29-14,6.23,False
2018/1/29-15,2.49,False
2018/1/30-6,8.33,False
2018/1/30-7,3.21,False
2018/1/30-9,2.44,False
2018/1/30-10,0.98,False
2018/1/30-11,3.08,False
2018/1/30-12,1.83,False
2018/1/30-13,0.37,False
2018/1/30-14,4.26,False
2018/1/30-15,2.5,False
2018/1/30-16,4.5,False
2018/1/30-17,1.43,False
2018/1/30-18,1.0,False
2018/1/31-6,4.41,False
2018/2/27-14,9.79,False
2018/2/19-19,9.07,False
2018/2/19-20,9.129999999999999,False
2018/2/19-21,6.8100000000000005,False
2018/2/19-22,6.8100000000000005,False
2018/2/19-23,3.79,False
2018/2/27-17,1.31,False
2018/2/27-18,2.23,False
2018/2/28-7,3.7299999999999995,False
2018/2/28-8,2.9699999999999998,False
2018/2/28-9,6.54,False
2018/2/28-10,6.59,False
2018/2/28-11,4.53,False
2018/2/28-12,3.66,False
2018/2/28-13,7.15,False
