y_test,y_hat
6.5248275,-0.012223347
6.5248275,-0.015854012
0.65248275,-0.015372459
0.0,-0.010762502
0.0,-0.0013248771
3.3659055,0.014745227
9.834025,0.039983448
0.6227651,0.076705284
24.25624,0.12565614
31.774052,0.18442662
38.11199,0.24640772
55.06276,0.30113074
46.517365,0.33672518
30.820396,0.34390393
18.530397,0.3195916
15.6510315,0.2681917
11.588871,0.19985168
15.017831,0.12680215
15.139112,0.059734397
9.533986,0.0056402376
5.6857285,-0.032569963
16.491192,-0.055287115
17.260382,-0.06499182
13.327974,0.062438376
15.1835785,0.057115395
15.1835785,0.053564046
21.154139,0.053996228
17.069017,0.058168337
15.1835785,0.06729599
15.1835785,0.08465779
17.204355,0.11516395
41.114674,0.16397479
41.359055,0.2340387
44.749672,0.3229285
35.839874,0.42042875
36.845127,0.5090021
29.666742,0.56848395
20.786804,0.5835262
13.5656805,0.5497722
25.671385,0.47519383
31.25046,0.37628534
39.861168,0.2717892
40.716114,0.17720737
27.745316,0.102013916
17.99587,0.049559467
17.99587,0.018564466
16.396736,0.0050170515
5.993327,0.009317843
7.9802837,0.004439188
9.490371,0.00040871286
5.993327,-0.0004799341
5.993327,0.0014398023
5.993327,0.007056569
6.2901387,0.019075155
9.190525,0.041657146
17.41792,0.07920288
22.125257,0.13433056
40.038445,0.20532358
29.469666,0.2842254
19.353296,0.3571349
21.708073,0.40773517
32.464554,0.42305502
38.610527,0.39859134
30.632584,0.3398694
36.999844,0.2598313
33.914257,0.17387778
20.460869,0.095213905
16.85449,0.032264035
11.71466,-0.011654386
9.9560375,-0.037275422
5.786719,-0.047850158
5.786719,-0.042644534
5.786719,-0.046918616
4.957289,-0.051152233
0.0,-0.05296271
0.0,-0.052689966
0.49706665,-0.049650922
12.0242815,-0.041538175
10.715974,-0.024756668
15.173313,0.004516884
19.546583,0.048584223
22.763897,0.106138274
20.00242,0.1707327
25.877699,0.23105145
38.730755,0.27369678
23.54801,0.28777674
9.870245,0.26910707
17.915842,0.22171175
35.132423,0.15595268
27.48447,0.08458333
20.652987,0.01882669
8.422292,-0.03391993
9.825144,-0.07055112
10.500979,-0.09147803
7.8927674,-0.099402204
5.175767,-0.093511075
5.175767,-0.09718706
5.175767,-0.1015008
5.175767,-0.10397736
1.0696586,-0.10493318
0.0,-0.1038074
0.0,-0.09857506
0.4223077,-0.08606522
1.2246922,-0.062897265
12.746023,-0.027032511
22.144049,0.020473681
29.754759,0.07421497
24.01403,0.12472055
16.852127,0.16077144
23.382195,0.17315829
27.488663,0.1581573
6.6028395,0.1188715
12.7617235,0.06383447
21.803335,0.0037544928
30.838297,-0.051759236
37.80995,-0.096245
26.001787,-0.12688066
9.746806,-0.14390658
3.9502947,-0.14962614
0.0,-0.14335623
0.0,-0.14653367
0.0,-0.15088627
0.0,-0.15387107
0.0,-0.15576735
0.0,-0.15607813
1.538642,-0.15299053
5.4934025,-0.14365163
11.731089,-0.12503538
15.988496,-0.095304556
15.746205,-0.055355098
17.239847,-0.009847147
13.761117,0.033101693
18.980692,0.06389356
20.97114,0.074635014
24.641146,0.062060416
17.367134,0.028707828
15.266697,-0.0182205
4.1125026,-0.069562115
1.3571428,-0.11700599
0.0,-0.15489408
0.0,-0.18070288
0.0,-0.19459102
0.0,-0.19857293
4.048029,-0.22266676
1.5989712,-0.16407838
0.0,-0.087931536
0.0,-0.023353286
0.0,0.027809469
0.0,0.070763975
0.0,0.114105344
2.542667,0.1682691
7.59925,0.24361633
27.342201,0.34704497
33.36299,0.47730458
29.48038,0.6210242
28.120821,0.75309104
25.807577,0.84389895
17.672285,0.87105614
6.851106,0.8286916
34.109524,0.72875607
36.516956,0.5947889
16.611004,0.45282957
12.490999,0.32405588
12.320816,0.22121078
7.9944777,0.14864928
1.0174354,0.10448157
0.0,0.083323196
3.7800252,0.084912725
4.2499747,0.07884111
0.0,0.07531728
0.0,0.07635485
0.0,0.08166892
0.0,0.092755154
0.101555556,0.11357604
7.335135,0.15009312
16.441925,0.20861918
46.06359,0.2927768
48.612038,0.399518
31.284254,0.51615494
25.572878,0.6211885
