y_test,y_hat
35.839874,14.363154
36.845123,16.966087
29.666742,18.694908
20.786804,19.370987
13.5656805,18.890303
25.671387,17.26331
31.25046,14.643054
39.861168,11.369879
40.716114,8.034469
27.745316,5.2573915
17.99587,3.3203764
17.99587,2.1285112
16.396734,1.4420708
5.993327,1.0595378
7.9802837,0.853818
9.490371,0.7730916
5.993327,0.8137687
5.993327,1.0148088
5.993327,1.4596661
6.290139,2.2856135
9.190525,3.6859176
17.417921,5.8547583
22.12526,8.809699
40.038445,12.201119
29.469667,15.421522
19.353298,17.966135
21.708073,19.58893
32.464554,20.178469
38.610527,19.665033
30.632582,18.055887
36.999844,15.462567
33.914257,12.154283
20.460869,8.672921
16.854492,5.6818786
11.71466,3.5536172
9.9560375,2.240288
5.786719,1.4924852
5.786719,1.0820127
5.786719,0.8627009
4.9572887,0.7742788
0.0,0.8123706
0.0,1.0217694
0.49706668,1.4997025
12.0242815,2.4076786
10.715973,3.969763
15.173313,6.387516
19.546583,9.611527
22.763897,13.171344
20.002419,16.402412
25.877699,18.851212
38.730755,20.356688
23.548008,20.868464
9.870245,20.34465
17.915844,18.784002
35.132423,16.256077
27.484472,12.9592905
20.652985,9.370177
8.422291,6.1732607
9.825144,3.836638
10.500978,2.3807287
7.8927674,1.5578177
5.1757674,1.112527
5.1757674,0.876239
5.1757674,0.77806723
5.1757674,0.8120506
1.0696585,1.0292845
0.0,1.5426116
0.0,2.5406153
0.42230767,4.277693
1.2246923,6.9487658
12.746024,10.414975
22.144049,14.089088
29.754759,17.282806
24.014032,19.61423
16.852129,21.00344
23.382195,21.452183
27.488665,20.940254
6.60284,19.454433
12.7617235,17.02377
21.803333,13.780006
30.838297,10.124092
37.80995,6.736682
26.001787,4.1774106
9.746806,2.5555642
3.9502947,1.6410266
0.0,1.1525799
0.0,0.8953702
0.0,0.7851436
0.0,0.81317604
0.0,1.0371443
0.0,1.5872703
1.538642,2.6815312
5.4934025,4.6016254
11.731089,7.5188026
15.988496,11.188941
15.746205,14.925229
17.239847,18.047829
13.761118,20.255106
18.980692,21.53823
20.97114,21.941572
24.641146,21.461782
17.367134,20.072304
15.266698,17.764393
4.112503,14.609108
1.3571428,10.927797
0.0,7.3731565
0.0,4.5826607
0.0,2.770752
0.0,1.7453197
4.048029,1.1959683
1.5989714,0.92422545
0.0,0.80464923
0.0,0.8047562
0.0,0.9384544
0.0,1.2530503
0.0,1.8291968
2.5426672,2.7846534
7.59925,4.2633376
27.3422,6.368942
33.36299,9.02323
29.48038,11.868705
28.120821,14.385064
25.807577,16.109077
17.672285,16.728077
6.851106,16.106895
34.109524,14.333708
36.516956,11.716024
16.611002,8.760817
12.490999,6.0564375
12.320816,3.991752
7.9944777,2.615477
