value,prediction
6.1099997,2.5176353
0.0,1.9572867
0.0,2.587677
1.5400001,3.4429731
14.09,4.604102
11.45,5.829623
20.44,7.033781
30.06,8.125222
4.75,2.167798
2.19,2.007874
29.239998,7.1197915
35.76,7.970539
26.779999,7.583376
18.41,7.2308292
15.52,7.933146
25.35,7.9521804
13.81,7.7087436
24.62,7.2691894
20.289999,6.673845
17.06,5.9667993
0.0,1.4834237
11.610001,4.0361185
6.45,3.271441
9.63,1.9448246
6.84,0.82106847
0.0,1.592964
0.0,2.1983678
0.0,3.0709713
0.72999996,4.1016026
10.9,5.207632
19.17,6.29703
28.48,6.7228756
11.84,3.2769368
15.059999,1.8064058
24.43,8.482118
30.189999,9.595309
41.99,10.486164
35.99,10.818631
25.39,10.8434925
16.19,10.599766
15.33,10.10158
14.209999,9.364175
15.77,8.415832
16.48,7.305501
11.51,2.6818943
3.93,5.866109
3.81,4.448196
3.81,3.8196576
3.81,2.8490257
8.71,2.2867122
6.25,2.9025
0.4,3.7432127
0.0,4.894286
3.86,6.11276
19.51,7.316633
25.970001,8.413038
3.81,2.2385228
3.81,1.1996425
38.2,8.10627
37.56,8.914988
35.73,9.312223
31.470001,9.530268
27.89,9.514654
20.8,9.252602
13.17,8.741168
19.42,7.9923177
17.04,7.036352
6.71,5.924693
3.81,1.2657349
2.01,4.868072
0.69,3.925807
5.8900003,2.519545
9.900001,1.5913609
3.81,0.9267089
3.81,2.0939639
3.81,3.0981421
4.03,4.1614075
14.589999,5.303931
31.720001,6.4188156
38.33,7.3969707
11.9,1.6929647
11.9,0.8231232
29.66,7.341993
38.72,8.493538
49.44,9.138476
40.94,9.320371
37.039997,9.225368
36.8,8.89092
28.380001,8.328746
32.99,7.552129
20.25,6.5871663
26.029999,5.480279
11.9,1.0510745
14.09,3.6994936
6.01,2.9628594
6.01,2.1779916
1.0999999,1.2740382
11.9,0.6994819
8.68,1.2679006
6.01,2.3815084
6.01,3.5259392
10.65,4.744633
24.539999,5.9058514
19.689999,6.951255
0.0,1.7055507
0.0,0.62493974
38.36,7.493751
19.58,8.533119
16.46,9.32038
17.78,9.55136
17.98,9.492379
21.03,9.184326
20.140001,8.640437
20.78,7.875158
28.58,6.916471
22.87,5.812067
0.0,1.3524495
8.49,4.4112296
5.28,3.086388
3.7499998,2.4094472
3.42,1.4884826
0.0,0.95335615
0.0,1.6085306
0.0,2.4895685
1.24,3.6582608
18.14,4.8823485
30.509998,6.0837526
38.54,7.1627226
3.42,2.0790634
3.42,0.9964464
26.49,7.736658
17.36,8.779929
20.98,9.595905
24.17,9.85561
15.41,9.820199
17.9,9.52859
19.84,8.995121
24.21,8.235015
18.42,7.2770844
22.9,6.170085
3.42,1.6790458
13.23,4.771268
9.360001,3.407694
4.5499997,2.7530181
5.46,1.821838
3.42,1.288386
3.42,1.9342222
3.42,2.8008523
5.8900003,3.9601197
8.84,5.1808977
17.46,6.376644
24.97,7.4589376
0.0,2.4792461
0.0,1.4256037
4.11,7.987965
15.059999,9.038195
14.6,9.87932
12.69,10.164748
5.91,10.151302
0.0,9.8757715
0.0,9.352614
0.0,8.597682
0.0,7.6404386
2.96,6.5305367
0.0,2.0114512
6.13,5.1242666
6.13,3.7283373
6.13,3.0928535
6.13,2.1504445
0.0,1.617877
0.0,2.252462
0.0,3.105149
0.78000003,4.255335
7.4199996,5.46972
12.7699995,6.6651087
7.4999995,7.752069
11.46,2.877086
12.17,1.8800108
21.619999,8.226994
33.81,9.290516
46.45,10.155623
57.059998,10.46805
48.36,10.477708
29.999998,10.2193775
17.68,9.7075815
16.53,8.95871
15.5,8.002759
13.49,6.890149
9.82,2.347075
10.509999,5.467749
10.509999,4.045979
10.509999,3.4270043
5.6,2.4731271
6.04,1.9398539
6.04,2.561326
6.04,3.4003685
8.55,4.54198
7.8799996,5.751191
9.62,6.9475183
13.610001,8.040345
0.63,3.2803714
6.29,2.3497934
17.04,8.458692
19.630001,9.539118
16.25,10.426107
15.93,10.765873
3.18,10.799112
3.05,10.558651
8.61,10.058952
9.37,9.316828
10.85,8.362658
18.449999,7.2474723
6.29,2.6845593
9.360001,5.8007116
3.0,4.3595176
2.19,3.7539568
1.58,2.7886615
1.82,2.2530696
0.0,2.8598087
0.0,3.6854916
2.53,4.8189616
11.76,6.0241094
12.49,7.2225285
17.599998,8.322291
5.9300003,2.1269631
5.29,1.3387063
25.14,7.428891
32.550003,8.202182
33.33,9.111361
20.1,9.4269705
25.400002,9.4684925
30.720001,9.229735
17.63,8.726471
19.05,7.9772487
2.52,7.0166664
0.0,5.899412
0.0,1.2834582
0.0,4.6203036
0.0,2.9460263
0.51,2.4304383
6.1200004,1.4214133
0.0,0.88938236
0.0,1.4201937
0.0,2.1755445
0.0,3.2577019
3.93,4.4379473
19.04,5.644467
24.7,6.775731
6.1200004,2.4222767
6.1200004,1.7243696
45.26,7.389985
36.07,8.358674
26.7,9.091416
29.109999,9.301485
26.92,9.220824
6.25,8.889284
0.0,8.323563
2.26,7.5405316
0.92,6.569815
7.38,5.459682
6.1200004,1.1032861
9.38,4.0418897
5.91,2.7311497
5.8900003,2.0522842
5.8900003,1.1483114
4.88,0.6346131
0.0,1.2855664
0.0,2.1578925
7.75,3.3099563
9.01,4.523205
13.5199995,5.709874
28.029999,6.7824054
5.99,1.6728103
5.99,1.5192993
35.77,7.285727
36.02,8.196517
31.779999,9.056421
26.82,9.439472
25.71,9.507669
32.01,9.300889
17.93,8.836855
13.669999,8.133403
17.92,7.219636
27.19,6.142448
6.99,1.4691415
15.469999,4.7506895
5.99,3.4804728
5.99,2.7567246
0.4,1.8017411
6.85,1.1731248
5.99,1.8334908
5.99,2.752046
5.99,3.9808135
15.33,5.268095
0.0,6.514175
33.68,7.6198897
9.429999,1.7082633
10.2300005,0.7068205
20.93,7.2939587
19.27,8.337143
0.0,9.169881
14.4,9.439892
12.299999,9.410629
17.689999,9.120749
13.12,8.586954
1.43,7.826673
12.69,6.8706713
2.53,5.768895
6.21,1.3860445
0.0,4.374841
2.4,3.0254614
6.41,2.3729558
9.46,1.4611652
5.09,0.95253634
0.0,1.598078
0.0,2.459005
0.0,3.6043239
7.83,4.811643
18.8,5.9970665
28.039999,7.0733666
5.78,2.3743317
6.09,1.7649252
29.01,8.1574335
30.259998,9.259559
24.41,10.01502
29.869999,10.248859
23.18,10.197663
16.970001,9.905265
23.3,9.380822
22.92,8.634538
25.26,7.68882
13.599999,6.5869303
0.49,1.8708222
6.49,5.172413
10.509999,3.8576024
1.01,3.1482692
5.06,2.1819305
0.0,1.5552613
0.0,2.2049909
0.0,3.1069002
0.91,4.3219733
7.5200005,5.597562
32.219997,6.8377643
35.600002,7.935697
5.95,2.720243
5.95,2.194409
19.730001,8.442453
31.480001,9.547923
47.2,10.321709
47.739998,10.5763
30.41,10.544582
12.71,10.267149
8.0,9.753805
16.050001,9.014889
27.33,8.07298
25.28,6.9716916
5.95,2.24159
19.09,5.5535703
21.85,4.2105765
21.93,3.5192876
15.37,2.545438
5.95,1.9217317
5.95,2.5613568
5.18,3.4472592
0.0,4.649103
5.59,5.9126925
12.25,7.1462092
25.199999,8.243728
12.87,3.0679576
9.67,2.617881
36.28,8.718698
41.100002,9.834905
40.14,10.62722
24.97,10.903187
23.21,10.890283
35.97,10.627953
12.28,10.125825
18.74,9.3943815
19.54,8.456272
18.970001,7.3553314
13.04,2.615229
14.570001,5.924266
6.9800005,4.5597086
11.74,3.88379
5.55,2.90216
7.99,2.279809
6.9800005,2.907608
6.9800005,3.7780848
8.78,4.967587
17.05,6.220893
25.810001,7.4494185
28.69,8.547875
5.39,1.8952917
5.39,1.5455426
43.91,7.6400776
40.66,8.453976
34.92,9.239358
30.09,9.4960375
41.969997,9.489582
40.88,9.231226
36.27,8.728432
23.08,7.9939556
27.06,7.05474
19.779999,5.9584517
5.39,1.2352412
12.21,4.701573
5.39,3.13046
5.39,2.5275757
1.33,1.5319321
5.39,0.93163174
5.39,1.4953283
5.39,2.2855031
7.97,3.4000223
11.85,4.5982356
39.93,5.8034444
53.02,6.909294
0.0,2.0350482
0.0,1.4209197
16.289999,7.3664494
29.029999,8.442108
32.579998,9.145929
33.9,9.339145
23.37,9.243339
18.17,8.906862
10.589999,8.343901
6.5299997,7.5673666
6.75,6.601637
0.0,5.4904537
0.0,0.910155
0.75,4.036393
0.0,2.8095434
0.0,2.0582309
0.82,1.1212441
0.0,0.51317465
0.0,1.180694
0.0,2.1132288
2.6,3.342848
2.02,4.630945
14.42,5.8744993
18.38,6.9712963
5.44,1.8092229
5.44,1.0496186
37.760002,7.4743752
26.91,8.576811
19.07,9.328512
15.129999,9.552166
13.599999,9.487676
15.670001,9.179507
21.32,8.640306
18.82,7.882567
12.34,6.9307337
5.65,5.829214
0.10999999,1.226598
8.27,4.4114776
9.88,3.142868
6.51,2.4177804
0.35,1.477002
0.0,0.87746894
0.0,1.5414848
0.0,2.4591947
1.0899999,3.6765878
4.64,4.9524946
21.68,6.1888156
37.46,7.281339
9.46,2.092363
6.7999997,1.3606775
6.25,7.732113
6.25,8.861314
6.25,9.626712
6.25,9.869561
6.25,9.82456
6.25,9.537117
6.25,9.019129
6.25,8.281264
6.25,7.3457828
6.25,6.2554
6.25,1.5648286
6.25,4.8523054
6.25,3.5886934
6.25,2.860634
4.35,1.906251
6.25,1.2739621
6.25,1.9313873
6.25,2.848698
6.25,4.073531
6.25,5.35572
6.25,6.594218
6.25,7.6839585
0.0,0.88185847
0.0,1.1390507
0.51,6.8640165
6.1600003,8.025237
9.77,7.8196945
8.22,8.031682
5.22,8.494975
6.3799996,8.261627
6.3799996,7.842716
6.3799996,7.280952
7.82,6.5807457
12.38,5.778381
0.0,0.62194216
5.25,3.2186046
0.0,2.3852181
0.0,1.8723501
0.0,0.42039615
0.0,1.6026092
0.0,2.3661618
0.0,2.5991461
1.58,3.7484205
5.92,4.9512787
0.2,6.1007953
0.0,7.1277633
0.0,0.4187015
0.0,-0.58943415
5.27,7.317881
18.83,8.750469
12.87,9.683202
10.610001,9.98626
17.15,9.955232
14.78,9.650988
17.119999,9.089635
11.98,8.283024
3.3300002,7.2563605
0.0,6.056252
0.0,1.0718124
0.0,4.4174175
0.0,3.0387797
0.0,2.2166479
0.0,1.16776
0.0,0.45140135
0.0,1.1272206
0.0,2.1090214
5.26,3.4516504
2.82,4.899362
0.59000003,6.304995
2.56,7.5641036
0.0,1.6236213
0.0,1.2332957
12.1,8.815675
17.29,9.766669
17.42,10.263926
21.29,10.486433
20.15,10.442661
12.64,10.133749
3.0400002,9.563595
0.0,8.744736
0.0,7.7047772
0.0,6.492288
0.0,1.4645092
0.0,5.401463
0.0,4.181294
0.0,2.7878926
0.0,1.8256692
0.0,1.1097151
0.0,2.6487615
0.0,3.631044
0.0,4.637837
0.0,5.741347
7.0399995,6.8243194
9.33,7.751804
0.0,1.6470703
0.0,0.7459954
3.3999999,8.018299
6.3399997,9.358954
5.3,10.254963
9.08,10.6143875
11.29,10.643736
8.360001,10.372422
11.36,9.834025
0.24000001,9.050889
0.0,8.043154
0.0,6.8534317
0.0,1.8240691
1.73,4.7090964
4.5,3.6752217
4.5,2.8560932
4.5,1.8280216
0.0,1.1175327
0.0,1.8126332
0.0,2.625557
0.0,3.987673
0.0,5.368484
5.43,6.749926
3.3999999,7.9874997
4.5,2.485671
4.5,0.8841358
22.83,8.358301
31.579998,9.632715
29.099998,10.622503
21.91,10.976962
19.64,10.995346
21.56,10.7282295
10.56,10.190379
4.62,9.395973
4.5,8.372422
4.5,7.1684985
4.5,2.1308138
4.5,5.5408235
4.5,4.0216503
4.5,3.2665844
3.7200003,2.1878035
4.5,1.4880844
4.5,2.1598444
4.5,3.1448855
4.5,4.463743
5.16,5.794998
11.56,7.156059
16.14,8.354907
0.0,1.3396815
0.0,-0.21992564
0.0,7.105304
5.77,8.005772
9.52,8.941883
21.5,9.264689
22.43,9.281108
9.4,9.011035
3.09,8.470227
0.0,7.673593
3.73,6.6513305
6.05,5.4553647
0.0,0.47611198
9.78,3.9984293
11.93,2.3071823
6.91,1.6266748
6.05,0.55634904
0.0,-0.12379264
0.0,0.46194145
0.0,1.3536448
0.0,2.620296
0.0,3.9506593
0.0,5.256596
0.0,6.473711
6.05,1.1732575
6.05,0.11478128
18.91,7.3488216
24.349998,8.712853
19.39,9.578355
23.17,9.831218
24.789999,9.730383
21.619999,9.349105
10.05,8.715849
15.040001,7.8474674
11.31,6.772082
10.809999,5.537396
6.05,0.6225613
6.05,3.8348494
6.05,2.5332358
6.05,1.6840787
5.64,0.66824526
6.05,-0.02230867
6.05,0.73129314
6.05,1.8635014
6.05,3.2997868
6.05,4.75922
6.05,6.126003
8.09,7.349618
0.0,1.2020088
0.0,0.19881633
7.36,7.7279387
13.68,9.064603
15.68,9.919419
8.42,10.169767
10.74,10.070305
6.58,9.691448
7.9599996,9.062218
9.16,8.197665
1.38,7.1250854
0.0,5.8920383
0.0,0.94263554
0.0,4.226495
0.0,2.8602295
0.0,2.044232
0.0,1.0346712
0.0,0.34496215
0.0,1.136784
0.0,2.2589457
0.0,3.6396296
7.7799997,5.0461164
5.72,6.3757224
5.51,7.572655
0.0,1.6475129
0.0,0.662416
4.19,7.882804
2.1100001,9.175169
0.0,10.060904
1.9899999,10.347091
9.440001,10.286024
16.43,9.941608
18.28,9.340216
14.87,8.496959
4.74,7.439604
0.0,6.2164907
0.0,1.2526804
0.0,4.5808654
0.0,3.1559677
0.69,2.3665342
5.94,1.3390858
0.0,0.65359074
0.0,1.4032563
0.52,2.4953485
6.2999997,3.866583
5.58,5.258681
4.62,6.5758543
4.5,7.765653
5.94,2.0897443
5.94,1.132629
15.78,8.047723
14.22,9.314115
5.37,10.228557
0.8,10.547797
7.0399995,10.521841
16.22,10.208552
11.73,9.631907
8.91,8.807158
0.0,7.7625484
0.0,6.5471597
5.94,1.5701731
9.95,4.929432
0.0,3.4528043
0.0,2.689398
0.0,1.6458547
5.94,0.96264666
5.94,1.6731049
5.94,2.7249289
6.9700003,4.086337
10.8,5.4679174
1.27,6.777532
2.6,7.9650607
0.0,2.5301588
0.0,1.6008781
2.31,8.228526
0.0,9.476801
4.77,10.416706
5.4,10.766099
6.63,10.772
13.82,10.486759
20.34,9.932165
11.4800005,9.123586
0.85999995,8.089694
7.19,6.880241
0.0,1.8923653
16.22,5.26911
9.78,3.7481656
4.08,3.0092926
0.0,1.950912
0.0,1.2684371
0.0,1.9448327
0.0,2.9502401
0.0,4.298723
4.7799997,5.6723986
1.64,6.9782906
6.69,8.167269
0.0,1.8803272
0.0,1.6631103
6.68,6.8213463
6.8199997,7.7585444
7.91,7.3801193
10.29,7.2731085
14.7,7.9614305
18.609999,7.9094796
10.16,7.6107764
1.98,7.1314015
4.67,6.494915
12.42,5.748211
0.0,0.8539795
12.03,3.5463703
5.24,2.7058523
2.5,1.5124568
0.0,0.24211292
0.0,1.3217826
0.0,2.0601125
0.0,2.963026
0.57,4.0321555
9.24,5.177764
8.9800005,6.300484
12.11,6.524457
0.0,2.6542234
0.0,1.0777695
10.98,8.328673
17.890001,9.594264
17.34,10.60672
13.4800005,10.994938
18.91,11.034666
12.0,10.77721
13.28,10.243159
12.860001,9.448614
6.83,8.423024
5.96,7.217
0.0,2.2210042
8.31,5.5990367
12.1,4.040581
7.62,3.3231275
0.0,2.249275
0.0,1.5660142
0.0,2.2059758
0.0,3.1394632
0.0,4.4533143
0.0,5.825334
0.0,7.140011
5.88,8.341151
0.0,1.4945295
0.0,0.48316485
12.25,7.8605423
26.54,8.732393
31.63,9.158249
30.66,9.382324
19.15,9.358592
13.97,9.073916
7.57,8.524047
6.0,7.7196665
3.58,6.6906633
2.55,5.489625
0.0,0.5280743
9.0,4.3863015
6.92,3.2961993
1.94,1.7838802
0.0,0.798695
0.0,0.10927736
0.0,1.5254344
0.0,2.5635831
0.0,3.6602395
1.5600001,4.8638024
1.83,6.059331
