value,prediction
22.859999,5.9207683
31.199999,7.5934587
6.22,0.2865075
6.22,-0.53823406
47.559998,7.986791
51.96,10.123054
43.71,11.455968
49.74,12.061425
60.58,12.159574
47.9,11.885732
34.69,11.29453
25.44,10.397502
20.51,9.192729
14.969999,7.690151
6.22,1.100015
24.83,4.502988
17.49,3.199382
11.19,1.9450686
0.75,0.7768877
6.22,-0.063225366
6.22,0.48904267
6.22,1.5162644
6.9000006,2.9286995
12.31,4.575519
29.039999,6.3224382
49.89,8.030487
0.0,0.72258043
0.0,-0.1601464
41.37,8.488524
27.69,10.670415
26.77,12.026878
26.93,12.645526
17.689999,12.761639
11.679999,12.512096
10.19,11.949338
19.19,11.083416
20.13,9.909845
22.82,8.430571
0.0,1.7160282
24.99,5.1009808
10.57,3.7522388
6.1099997,2.442684
6.1099997,1.2171596
0.0,0.32757795
0.0,0.8539613
1.5400001,1.8791246
14.09,3.303773
11.45,4.972912
20.44,6.7503853
30.06,8.495913
4.75,-0.07019773
2.19,-0.2521118
29.239998,6.564499
35.76,7.634616
26.779999,8.704376
18.41,8.068858
15.52,8.542267
25.35,8.363727
13.81,7.870537
24.62,7.153504
20.289999,6.2626977
17.06,5.245207
0.0,-0.5100674
11.610001,2.4240599
6.45,1.1982099
9.63,0.26002252
6.84,-0.9793565
0.0,-0.5597713
0.0,0.20827198
0.0,1.3237431
0.72999996,2.7132704
10.9,4.2826304
19.17,5.909112
28.48,6.6634164
11.84,0.45463604
15.059999,-0.18597665
24.43,8.815329
30.189999,11.14721
41.99,12.617198
35.99,13.273126
25.39,13.401625
16.19,13.166831
15.33,12.62602
14.209999,11.78892
15.77,10.649528
16.48,9.203981
11.51,2.4109955
3.93,5.7667413
3.81,4.3745894
3.81,3.0025332
3.81,1.7084835
8.71,0.75594956
6.25,1.24801
0.4,2.2674658
0.0,3.7029748
3.86,5.3947453
19.51,7.204344
25.970001,8.98936
3.81,-0.681688
3.81,-0.9383508
38.2,8.560025
37.56,9.884408
35.73,10.798173
31.470001,11.328615
27.89,11.48587
20.8,11.293385
13.17,10.763977
19.42,9.897702
17.04,8.690538
6.71,7.1569467
